Plant,Material Number,Material Description
4350,67402BZ190,"FRAME SUB-ASSY, FR DOOR, FR LWR LH"
4332,67402BZ190,"FRAME SUB-ASSY, FR DOOR, FR LWR LH"
4331,488150K090,"BUSH, STABILIZER"
4331,488180K010,"BUSH, STABILIZER, RR"
4331,51410KK020,"COVER ASSY, ENGINE UNDER, NO.1"
4331,51420KK020,"COVER ASSY, ENGINE UNDER, NO.2"
4331,52112YP040,"EXTENSION, FR BUMPER, RH"
4331,52113YP040,"EXTENSION, FR BUMPER, LH"
4331,521610K040,"PIECE,RR BUMPER"
4332,521610K040,"PIECE,RR BUMPER"
4331,52166YP010,"COVER, RR BUMPER, UPR LH"
4331,52216KK010,"STOPPER, CAB MOUNTING CUSHION"
4331,522170K010,"BOLT, BODY MOUNTING"
4331,522170K020,"BOLT, BODY MOUNTING"
4331,522170K050,"BOLT, BODY MOUNTING"
4331,522170K060,"BOLT, BODY MOUNTING"
4331,52706YP030,"MOULDING SUB-ASSY, RR BUMPER SIDE, RH"
4331,52707YP030,"MOULDING SUB-ASSY, RR BUMPER SIDE, LH"
4350,67403BZ180,"FRAME SUB-ASSY, FR DOOR, RR LWR RH"
4332,67403BZ180,"FRAME SUB-ASSY, FR DOOR, RR LWR RH"
4331,53731KK010,"PATCH, FR FENDER APRON, RH"
4331,53732KK010,"PATCH, FR FENDER APRON, LH"
4350,67404BZ040,"FRAME SUB-ASSY, FR DOOR, RR LWR LH"
4350,67404BZ180,"FRAME SUB-ASSY, FR DOOR, RR LWR LH"
4332,67404BZ180,"FRAME SUB-ASSY, FR DOOR, RR LWR LH"
4350,67405BZ090,"GUIDE SUB-ASSY, RR DOOR WINDOW, FR RH"
4332,67405BZ090,"GUIDE SUB-ASSY, RR DOOR WINDOW, FR RH"
4331,538820K020,"SEAL, FR FENDER"
4332,538820K020,"SEAL, FR FENDER"
4350,67406BZ090,"GUIDE SUB-ASSY, RR DOOR WINDOW, FR LH"
4332,67406BZ090,"GUIDE SUB-ASSY, RR DOOR WINDOW, FR LH"
4350,67407BZ190,"FRAME SUB-ASSY, RR DOOR WDO, RR LWR RH"
4332,67407BZ190,"FRAME SUB-ASSY, RR DOOR WDO, RR LWR RH"
4350,67408BZ190,"FRAME SUB-ASSY, RR DOOR WDO, RR LWR LH"
4332,67408BZ190,"FRAME SUB-ASSY, RR DOOR WDO, RR LWR LH"
4331,55011YP020,"GARNISH SUB-ASSY, INSTRUMENT PANEL, NO.1"
4331,55215KK010,"PAD, DASH PANEL INSULATOR, NO.3"
4331,67415KK010,"FRAME, FR DOOR WINDOW, RR UPR RH"
